Question,Option A,Option B,Option C,Option D,Answer Key
What is the main function of a rectifier in an electronic circuit?,To convert AC to DC,To amplify signals,To resist current flow,To store energy,1
What is the unit of frequency?,Ohm,Hertz,Ampere,Volt,2
What is the main function of a fuse in an electronic circuit?,To store energy,To amplify signals,To protect the circuit from overcurrent,To convert AC to DC,3
What is the symbol for a resistor in a circuit diagram?,A straight line,A zigzag line,A circle with a cross inside,Two parallel lines,2
What is the basic function of an operational amplifier in an electronic circuit?,To resist current flow,To store energy,To amplify or switch electronic signals,To convert AC to DC,3
What is the unit of power?,Ohm,Farad,Watt,Volt,3
What is the main function of a switch in an electronic circuit?,To control the flow of current,To store energy,To amplify signals,To convert AC to DC,1
What is the symbol for a capacitor in a circuit diagram?,A straight line,A triangle with a line at one end,Two parallel lines,A circle with a cross inside,3
What is the unit of electric charge?,Ohm,Farad,Ampere,Coulomb,4
What is the main function of a battery in an electronic circuit?,To resist current flow,To provide electrical energy,To amplify signals,To convert AC to DC,2
What is the unit of electrical resistance?,Ampere,Ohm,Volt,Watt,2
Which of the following is not a type of passive electronic component?,Resistor,Transistor,Capacitor,Inductor,2
What is the main function of a capacitor in an electronic circuit?,To resist current flow,To store energy,To amplify signals,To convert AC to DC,2
What is the symbol for a diode in a circuit diagram?,A straight line,A triangle with a line at one end,A circle with a cross inside,Two parallel lines,2
What is the purpose of a resistor in an electronic circuit?,To store energy,To control current flow,To amplify signals,To convert AC to DC,2
What is the basic function of a transistor in an electronic circuit?,To resist current flow,To store energy,To amplify or switch electronic signals,To convert AC to DC,3
What is the unit of capacitance?,Ohm,Farad,Ampere,Volt,2
What is the main function of an inductor in an electronic circuit?,To resist current flow,To store energy in a magnetic field,To amplify signals,To convert AC to DC,2
What is the symbol for ground in a circuit diagram?,A straight line,A triangle with a line at one end,Three horizontal lines decreasing in size,Two parallel lines,3
What is the unit of inductance?,Ohm,Farad,Ampere,Henry,4
